"Industry Code","Industry","Category","Type","Valuation","Statistic","Period","Value"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Quantity % Change","2023Q2","2.5"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Quantity % Change","2023Q3","4.7"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Quantity % Change","2023Q4","3.4"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Quantity % Change","2024Q1","0.8"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Quantity % Change","2024Q2","3.6"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Quantity % Change","2024Q3","3.3"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Quantity % Change","2024Q4","1.9"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Quantity % Change","2025Q1","-0.6"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Quantity % Change","2025Q2","3.8"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Quantity % Change","2025Q3","4.4"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Quantity % Change","2025Q4","0.5"
"21","Mining","VA_DD","Contributions","[Percent and percentage points] (All Industries)","Q-Contributions to GDP","2021Q1","0.23"
"21","Mining","VA_DD","Contributions","[Percent and percentage points] (All Industries)","Q-Contributions to GDP","2021Q2","-0.03"
"21","Mining","VA_DD","Contributions","[Percent and percentage points] (All Industries)","Q-Contributions to GDP","2021Q3","0.11"
"21","Mining","VA_DD","Contributions","[Percent and percentage points] (All Industries)","Q-Contributions to GDP","2021Q4","-0.09"
"21","Mining","VA_DD","Contributions","[Percent and percentage points] (All Industries)","Q-Contributions to GDP","2022Q1","-0.47"
"21","Mining","VA_DD","Contributions","[Percent and percentage points] (All Industries)","Q-Contributions to GDP","2022Q2","-0.22"
"21","Mining","VA_DD","Contributions","[Percent and percentage points] (All Industries)","Q-Contributions to GDP","2022Q3","0.51"
"21","Mining","VA_DD","Contributions","[Percent and percentage points] (All Industries)","Q-Contributions to GDP","2022Q4","0.81"
"21","Mining","VA_DD","Contributions","[Percent and percentage points] (All Industries)","Q-Contributions to GDP","2023Q1","0.48"
"21","Mining","VA_DD","Contributions","[Percent and percentage points] (All Industries)","Q-Contributions to GDP","2023Q2","0.73"
"21","Mining","VA_DD","Contributions","[Percent and percentage points] (All Industries)","Q-Contributions to GDP","2023Q3","0.21"
"21","Mining","VA_DD","Contributions","[Percent and percentage points] (All Industries)","Q-Contributions to GDP","2023Q4","0.03"
"21","Mining","VA_DD","Contributions","[Percent and percentage points] (All Industries)","Q-Contributions to GDP","2024Q1","-0.13"
"21","Mining","VA_DD","Contributions","[Percent and percentage points] (All Industries)","Q-Contributions to GDP","2024Q2","0.05"
"21","Mining","VA_DD","Contributions","[Percent and percentage points] (All Industries)","Q-Contributions to GDP","2024Q3","0.07"
"21","Mining","VA_DD","Contributions","[Percent and percentage points] (All Industries)","Q-Contributions to GDP","2024Q4","-0.06"
"21","Mining","VA_DD","Contributions","[Percent and percentage points] (All Industries)","Q-Contributions to GDP","2025Q1","-0.27"
"21","Mining","VA_DD","Contributions","[Percent and percentage points] (All Industries)","Q-Contributions to GDP","2025Q2","0.33"
"21","Mining","VA_DD","Contributions","[Percent and percentage points] (All Industries)","Q-Contributions to GDP","2025Q3","0.05"
"21","Mining","VA_DD","Contributions","[Percent and percentage points] (All Industries)","Q-Contributions to GDP","2025Q4","0.07"
"21","Mining","VA_DD","Index","[2017=100] (All Industries)","VA Quantity Index","2021Q1","110.443"
"21","Mining","VA_DD","Index","[2017=100] (All Industries)","VA Quantity Index","2021Q2","105.000"
"21","Mining","VA_DD","Index","[2017=100] (All Industries)","VA Quantity Index","2021Q3","103.566"
"21","Mining","VA_DD","Index","[2017=100] (All Industries)","VA Quantity Index","2021Q4","99.595"
"21","Mining","VA_DD","Index","[2017=100] (All Industries)","VA Quantity Index","2022Q1","91.742"
"21","Mining","VA_DD","Index","[2017=100] (All Industries)","VA Quantity Index","2022Q2","88.499"
"21","Mining","VA_DD","Index","[2017=100] (All Industries)","VA Quantity Index","2022Q3","94.604"
"21","Mining","VA_DD","Index","[2017=100] (All Industries)","VA Quantity Index","2022Q4","106.704"
"21","Mining","VA_DD","Index","[2017=100] (All Industries)","VA Quantity Index","2023Q1","116.647"
"21","Mining","VA_DD","Index","[2017=100] (All Industries)","VA Quantity Index","2023Q2","133.454"
"21","Mining","VA_DD","Index","[2017=100] (All Industries)","VA Quantity Index","2023Q3","138.780"
"21","Mining","VA_DD","Index","[2017=100] (All Industries)","VA Quantity Index","2023Q4","139.170"
"21","Mining","VA_DD","Index","[2017=100] (All Industries)","VA Quantity Index","2024Q1","135.241"
"21","Mining","VA_DD","Index","[2017=100] (All Industries)","VA Quantity Index","2024Q2","135.608"
"21","Mining","VA_DD","Index","[2017=100] (All Industries)","VA Quantity Index","2024Q3","136.901"
"21","Mining","VA_DD","Index","[2017=100] (All Industries)","VA Quantity Index","2024Q4","135.048"
"21","Mining","VA_DD","Index","[2017=100] (All Industries)","VA Quantity Index","2025Q1","128.386"
"21","Mining","VA_DD","Index","[2017=100] (All Industries)","VA Quantity Index","2025Q2","136.816"
"21","Mining","VA_DD","Index","[2017=100] (All Industries)","VA Quantity Index","2025Q3","138.255"
"21","Mining","VA_DD","Index","[2017=100] (All Industries)","VA Quantity Index","2025Q4","140.347"
"21","Mining","VA_DD","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","VA Quantity % Change","2021Q1","-0.6"
"21","Mining","VA_DD","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","VA Quantity % Change","2021Q2","-18.3"
"21","Mining","VA_DD","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","VA Quantity % Change","2021Q3","-5.4"
"21","Mining","VA_DD","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","VA Quantity % Change","2021Q4","-14.5"
"21","Mining","VA_DD","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","VA Quantity % Change","2022Q1","-28.0"
"21","Mining","VA_DD","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","VA Quantity % Change","2022Q2","-13.4"
"21","Mining","VA_DD","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","VA Quantity % Change","2022Q3","30.6"
"21","Mining","VA_DD","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","VA Quantity % Change","2022Q4","61.8"
"21","Mining","VA_DD","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","VA Quantity % Change","2023Q1","42.8"
"21","Mining","VA_DD","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","VA Quantity % Change","2023Q2","71.3"
"21","Mining","VA_DD","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","VA Quantity % Change","2023Q3","16.9"
"21","Mining","VA_DD","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","VA Quantity % Change","2023Q4","1.1"
"21","Mining","VA_DD","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","VA Quantity % Change","2024Q1","-10.8"
"21","Mining","VA_DD","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","VA Quantity % Change","2024Q2","1.1"
"21","Mining","VA_DD","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","VA Quantity % Change","2024Q3","3.9"
"21","Mining","VA_DD","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","VA Quantity % Change","2024Q4","-5.3"
"21","Mining","VA_DD","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","VA Quantity % Change","2025Q1","-18.3"
"21","Mining","VA_DD","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","VA Quantity % Change","2025Q2","29.0"
"21","Mining","VA_DD","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","VA Quantity % Change","2025Q3","4.3"
"21","Mining","VA_DD","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","VA Quantity % Change","2025Q4","6.2"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Price % Change","2021Q1","5.2"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Price % Change","2021Q2","6.3"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Price % Change","2021Q3","6.3"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Price % Change","2021Q4","7.0"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Price % Change","2022Q1","8.4"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Price % Change","2022Q2","9.3"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Price % Change","2022Q3","4.4"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Price % Change","2022Q4","3.9"
